Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,auth/login,5,0,120.0,123.11678360565566,115.44475000118837,130.2847920160275,1707.0,0.08903753461226574,0.0,120,130,130,130,130,130,130,130,130,130,130
GET,auth/me,5,0,36,35.75850799679756,26.933707995340228,49.05270799645223,1636.0,0.08903753461226574,0.0,36,37,37,49,49,49,49,49,49,49,49
GET,bank-reconciliation/meta [get],5,0,53,58.87114119832404,41.01829099818133,85.67170801688917,1854.0,0.08903753461226574,0.0,53,63,63,86,86,86,86,86,86,86,86
GET,bank-reconciliation/sessions [list],6,0,68,96.93830550046793,51.98870800086297,192.83908299985342,7553.0,0.10684504153471888,0.0,70,70,140,140,190,190,190,190,190,190,190
GET,reports/payables/aging [get],3,0,65,69.688083002499,58.47879100474529,85.63070799573325,8535.0,0.05342252076735944,0.0,65,65,86,86,86,86,86,86,86,86,86
GET,reports/payables/meta [get],3,0,70,71.11234733019955,45.54500000085682,97.57887499290518,101849.0,0.05342252076735944,0.0,70,70,98,98,98,98,98,98,98,98,98
GET,sales/invoices [list],19,0,9900.0,9278.47730267891,4086.271374981152,12847.417582990602,1317106.0,0.3383426315266098,0.0,9900,10000,11000,11000,13000,13000,13000,13000,13000,13000,13000
GET,sales/settings [get],7,0,280.0,348.2376429892611,155.46374997938983,903.9518339850474,16460.0,0.12465254845717202,0.0,280,310,390,390,900,900,900,900,900,900,900
,Aggregated,53,0,160.0,3411.726330940168,26.933707995340228,12847.417582990602,481937.5283018868,0.9437978668900168,0.0,160,4100,9100,9900,11000,12000,13000,13000,13000,13000,13000
