Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,auth/login,5,0,150.0,144.63686680537648,124.06879200716503,163.08612501597963,1707.0,0.09012796000702422,0.0,150,150,150,160,160,160,160,160,160,160,160
GET,auth/me,5,0,61,55.25752499233931,30.264333996456116,76.43695798469707,1636.0,0.09012796000702422,0.0,61,69,69,76,76,76,76,76,76,76,76
GET,purchase/purchase-invoices/search [legacy],5,0,33000.0,30266.442033607746,19499.325917015085,33817.22745799925,6665289.0,0.09012796000702422,0.0,33000,33000,33000,34000,34000,34000,34000,34000,34000,34000,34000
GET,purchase/purchase-service-invoices/search [legacy],2,0,20346.144083014224,25160.186541514122,20346.144083014224,29974.22900001402,4297320.0,0.03605118400280969,0.0,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
,Aggregated,17,0,150.0,11920.709130003268,30.264333996456116,33817.22745799925,2466929.411764706,0.3064350640238824,0.0,150,20000,30000,33000,33000,34000,34000,34000,34000,34000,34000
