Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,auth/login,5,0,1,1.3704665965633467,0.46183299855329096,3.7306249869288877,0.0,0.04214271005309607,0.0,1,1,1,4,4,4,4,4,4,4,4
GET,auth/me,5,0,0.3258749929955229,0.4502415977185592,0.3258749929955229,0.6228330021258444,0.0,0.04214271005309607,0.0,0,0,0,1,1,1,1,1,1,1,1
GET,sales/invoices [seed-id],302,302,1,0.7411784006052169,0.2815000043483451,11.782749992562458,0.0,2.5454196872070023,2.5454196872070023,1,1,1,1,1,1,2,4,12,12,12
,Aggregated,312,302,1,0.7466006985711059,0.2815000043483451,11.782749992562458,0.0,2.6297051073131947,2.5454196872070023,1,1,1,1,1,1,2,4,12,12,12
