Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,auth/login,5,0,130.0,134.83415840310045,120.49054200178944,160.10262499912642,1707.0,0.08485889112650058,0.0,130,140,140,160,160,160,160,160,160,160,160
GET,auth/me,5,0,41,39.26357519812882,29.730500013101846,46.96187499212101,1636.0,0.08485889112650058,0.0,41,44,44,47,47,47,47,47,47,47,47
GET,bank-reconciliation/meta [get],9,0,50,54.219518442146686,37.72600000957027,73.65141599439085,1854.0,0.15274600402770103,0.0,50,54,64,67,74,74,74,74,74,74,74
GET,bank-reconciliation/sessions [list],5,0,82,72.38928339793347,47.553832991980016,94.9776670022402,7553.0,0.08485889112650058,0.0,82,82,82,95,95,95,95,95,95,95,95
GET,reports/payables/aging [get],12,0,68,81.88961107953219,40.047540998784825,147.78624998871237,8535.0,0.20366133870360137,0.0,72,75,110,110,130,150,150,150,150,150,150
GET,reports/payables/meta [get],9,0,53,57.75977788855218,45.12649998650886,95.76875000493601,101849.0,0.15274600402770103,0.0,53,54,56,67,96,96,96,96,96,96,96
GET,sales/invoices [list],19,0,5800.0,7620.07963357916,4312.353499990422,11735.711333021754,1317106.0,0.32246378628070216,0.0,5800,9900,11000,11000,12000,12000,12000,12000,12000,12000,12000
GET,sales/settings [get],13,0,200.0,292.6373173048397,148.50479198503308,1027.4130830075592,16460.0,0.2206331169289015,0.0,200,270,300,340,440,1000,1000,1000,1000,1000,1000
,Aggregated,77,0,120.0,1971.5418473752397,29.730500013101846,11735.711333021754,341937.93506493507,1.306826923348109,0.0,120,190,1000,4500,9700,11000,12000,12000,12000,12000,12000
