Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,auth/login,50,0,1,1.7390442418400198,0.6185420061228797,4.3918340088566765,0.0,0.16723137640614977,0.0,1,2,2,2,3,3,4,4,4,4,4
GET,auth/me,50,0,2,1.5649566813954152,0.636124997981824,2.7966249908786267,0.0,0.16723137640614977,0.0,2,2,2,2,2,2,3,3,3,3,3
GET,sales/invoices [list],3676,0,1,0.6401024516262732,0.24108299112413079,16.781332989921793,0.0,12.294850793380132,0.0,1,1,1,1,1,1,1,2,10,17,17
GET,sales/settings [get],2254,0,1,0.6470219252736741,0.2589999930933118,15.586833003908396,0.0,7.538790448389232,0.0,1,1,1,1,1,1,2,2,13,16,16
,Aggregated,6030,0,1,0.6594699963361217,0.24108299112413079,16.781332989921793,0.0,20.168103994581664,0.0,1,1,1,1,1,1,2,2,10,17,17
