Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,auth/login,5,0,130.0,127.65878339414485,122.18012500670739,132.65049998881295,1707.0,0.0850171157413879,0.0,130,130,130,130,130,130,130,130,130,130,130
GET,auth/me,5,0,42,38.34349140524864,27.919790998566896,43.61295801936649,1636.0,0.0850171157413879,0.0,42,42,42,44,44,44,44,44,44,44,44
GET,sales/goods-lookup [seed-id],5,0,58,68.18567480077036,51.097874995321035,95.57658300036564,483.0,0.0850171157413879,0.0,58,85,85,96,96,96,96,96,96,96,96
GET,sales/invoices/cross-mode-nav [goods->service],29,0,77,79.58751579280943,44.47262498433702,116.29029200412333,150.0,0.4930992713000499,0.0,77,90,97,100,100,110,120,120,120,120,120
GET,sales/invoices/lookup [list],51,0,150.0,155.2169117871124,107.42883299826644,222.8494590090122,40802.0,0.8671745805621567,0.0,150,160,180,190,200,210,220,220,220,220,220
GET,sales/service-invoices/cross-mode-nav [service->goods],30,0,71,73.6002860678127,32.59008299210109,208.01695800037123,131.0,0.5101026944483275,0.0,71,75,79,82,97,100,210,210,210,210,210
GET,sales/service-invoices/lookup [list],25,0,150.0,155.40881672292016,117.37341701518744,225.83454198320396,40801.0,0.4250855787069395,0.0,150,170,180,180,190,200,230,230,230,230,230
GET,sales/service-lookup [seed-id],5,0,61,93.39567481074482,46.23787497985177,212.11725001921877,483.0,0.0850171157413879,0.0,61,88,88,210,210,210,210,210,210,210,210
,Aggregated,155,0,120.0,115.84030697610409,27.919790998566896,225.83454198320396,20198.4,2.635530587983025,0.0,120,140,150,160,190,200,210,220,230,230,230
