Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,auth/login,5,0,140.0,140.21085820277222,127.30108399409801,150.98991600098088,1707.0,0.0844358145691994,0.0,140,150,150,150,150,150,150,150,150,150,150
GET,auth/me,5,0,42,42.30288340477273,39.705875009531155,46.03649998898618,1636.0,0.0844358145691994,0.0,42,43,43,46,46,46,46,46,46,46,46
GET,purchase/goods-lookup [seed-id],5,0,77,78.42020019888878,72.37858400912955,90.21391699207015,539.0,0.0844358145691994,0.0,77,78,78,90,90,90,90,90,90,90,90
GET,purchase/purchase-invoices/cross-mode-nav [goods->service],37,0,170.0,173.80029962136965,104.7907909960486,348.563584004296,158.0,0.6248250278120755,0.0,170,180,190,190,280,300,350,350,350,350,350
GET,purchase/purchase-invoices/lookup [list],53,0,100.0,103.88120207254651,44.24579199985601,197.64966701040976,48015.0,0.8950196344335136,0.0,100,110,120,120,130,130,180,200,200,200,200
GET,purchase/purchase-service-invoices/cross-mode-nav [service->goods],24,0,120.0,111.6416840874687,54.18383399955928,190.27341599576175,156.0,0.4052919099321571,0.0,120,120,130,130,140,150,190,190,190,190,190
GET,purchase/purchase-service-invoices/lookup [list],25,0,120.0,117.20345164067112,54.07095799455419,167.1028329874389,48031.0,0.422179072845997,0.0,120,130,130,130,140,150,170,170,170,170,170
GET,purchase/service-lookup [seed-id],5,0,98,96.24926659744233,75.78049998846836,116.6669579979498,539.0,0.0844358145691994,0.0,98,110,110,120,120,120,120,120,120,120,120
,Aggregated,159,0,120.0,121.58312922623301,39.705875009531155,348.563584004296,23756.383647798742,2.6850589033005408,0.0,120,130,140,150,180,190,280,300,350,350,350
